ensg1	ensg2	score	interaction_type	data_source
ENSG00000071243	ENSG00000120498	0.49	PPI	IAH
ENSG00000071243	ENSG00000138100	0.56	PPI	IAH
ENSG00000143793	ENSG00000182196	0.49	PPI	IAH
ENSG00000182196	ENSG00000182196	0.49	PPI	IAH
ENSG00000172086	ENSG00000182196	0.49	PPI	IAH
ENSG00000172113	ENSG00000241837	0.49	PPI	IAH
ENSG00000058063	ENSG00000196628	0.49	PPI	IAH
ENSG00000011590	ENSG00000169813	0.49	PPI	IAH
ENSG00000011590	ENSG00000105576	0.49	PPI	IAH
ENSG00000011590	ENSG00000131721	0.7	PPI	IAH
ENSG00000011590	ENSG00000186977	0.49	PPI	IAH
ENSG00000011590	ENSG00000108788	0.56	PPI	IAH
ENSG00000011590	ENSG00000151650	0.49	PPI	IAH
ENSG00000011590	ENSG00000141741	0.49	PPI	IAH
ENSG00000011590	ENSG00000186153	0.49	PPI	IAH
ENSG00000011590	ENSG00000136573	0.49	PPI	IAH
ENSG00000011590	ENSG00000137098	0.49	PPI	IAH
ENSG00000011590	ENSG00000129355	0.49	PPI	IAH
ENSG00000011590	ENSG00000179526	0.49	PPI	IAH
ENSG00000011590	ENSG00000183640	0.49	PPI	IAH
ENSG00000011590	ENSG00000173406	0.56	PPI	IAH
ENSG00000011590	ENSG00000011590	0.49	PPI	IAH
ENSG00000011590	ENSG00000124788	0.49	PPI	IAH
ENSG00000011590	ENSG00000152430	0.49	PPI	IAH
ENSG00000011590	ENSG00000069011	0.49	PPI	IAH
ENSG00000011590	ENSG00000157110	0.56	PPI	IAH
ENSG00000008018	ENSG00000011590	0.49	PPI	IAH
ENSG00000011590	ENSG00000183283	0.49	PPI	IAH
ENSG00000011590	ENSG00000162881	0.49	PPI	IAH
ENSG00000011590	ENSG00000100105	0.49	PPI	IAH
ENSG00000011590	ENSG00000157110	0.49	PPI	IAH
ENSG00000011590	ENSG00000227151	0.49	PPI	IAH
ENSG00000011590	ENSG00000186970	0.49	PPI	IAH
ENSG00000011590	ENSG00000150636	0.49	PPI	IAH
ENSG00000011590	ENSG00000172073	0.49	PPI	IAH
ENSG00000087077	ENSG00000188266	0.56	PPI	IAH
ENSG00000087338	ENSG00000188266	0.56	PPI	IAH
ENSG00000106511	ENSG00000172000	0.49	PPI	IAH
ENSG00000114107	ENSG00000134248	0.7	PPI	IAH
ENSG00000109906	ENSG00000134248	0.7	PPI	IAH
ENSG00000134248	ENSG00000188186	0.7	PPI	IAH
ENSG00000085231	ENSG00000134248	0.56	PPI	IAH
ENSG00000106511	ENSG00000134248	0.56	PPI	IAH
ENSG00000139531	ENSG00000205765	0.49	PPI	IAH
ENSG00000071051	ENSG00000185448	0.49	PPI	IAH
ENSG00000104369	ENSG00000240045	0.49	PPI	IAH
ENSG00000156097	ENSG00000240045	0.49	PPI	IAH
ENSG00000100290	ENSG00000240045	0.49	PPI	IAH
ENSG00000111450	ENSG00000240045	0.49	PPI	IAH
ENSG00000177694	ENSG00000240045	0.49	PPI	IAH
ENSG00000111371	ENSG00000240045	0.49	PPI	IAH
ENSG00000157613	ENSG00000240045	0.49	PPI	IAH
ENSG00000155755	ENSG00000240045	0.49	PPI	IAH
ENSG00000131080	ENSG00000240045	0.49	PPI	IAH
ENSG00000110848	ENSG00000240045	0.49	PPI	IAH
ENSG00000106089	ENSG00000240045	0.49	PPI	IAH
ENSG00000164530	ENSG00000240045	0.49	PPI	IAH
ENSG00000168000	ENSG00000240045	0.49	PPI	IAH
ENSG00000168958	ENSG00000240045	0.49	PPI	IAH
ENSG00000157765	ENSG00000240045	0.49	PPI	IAH
